D=0.0,D=0.1,D=0.2,D=0.3,D=0.4,D=0.5,D=0.6,D=0.7,D=0.8,D=0.9,D=1.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99.98360208,99.98360208,99.98360208,99.98360208,99.98360208,99.98360208,99.98360208,99.98360208,99.98360208,99.98360208,99.98360208
99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133
99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431
99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049596,99.71668115049597
99.63179415903863,99.63179415904162,99.6317941590446,99.63179415904756,99.63179415905054,99.63179415905353,99.6317941590565,99.63179415905948,99.63179415906244,99.63179415906542,99.63179415906839
99.54915906230303,99.54915906234768,99.54915906239228,99.54915906243689,99.54915906248144,99.549159062526,99.54915906257054,99.54915906261505,99.54915906265953,99.54915906270398,99.5491590627484
99.46860051040622,99.4686005106583,99.46860051091004,99.46860051116144,99.46860051141248,99.4686005116632,99.46860051191356,99.46860051216358,99.46860051241325,99.46860051266258,99.46860051291154
99.38994752665631,99.38994752758182,99.3899475285052,99.38994752942646,99.38994753034557,99.38994753126256,99.38994753217746,99.38994753309024,99.38994753400092,99.38994753490948,99.38994753581595
99.31304558821198,99.31304559085012,99.3130455934796,99.3130455961006,99.31304559871296,99.31304560131689,99.31304560391231,99.31304560649932,99.3130456090779,99.31304561164812,99.31304561421
99.23775820792603,99.23775821427648,99.23775822060004,99.23775822689691,99.23775823316718,99.23775823941106,99.23775824562873,99.23775825182022,99.23775825798576,99.2377582641255,99.23775827023957
99.1639655065026,99.16396552003812,99.1639655335032,99.16396554689842,99.1639655602242,99.1639655734811,99.16396558666963,99.16396559979027,99.16396561284353,99.16396562582987,99.16396563874981
99.09156208080528,99.09156210711836,99.09156213326882,99.09156215925822,99.0915621850879,99.09156221075932,99.09156223627396,99.0915622616332,99.0915622868384,99.09156231189095,99.09156233679226
